               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10113,             0.13023,            0.028509,             0.14247,             0.35647,             0.13886,            0.035476,             0.08424,            0.086216,            0.021629,            0.070067,           0.0033259,           0.0033259
                   1,            0.079529,             0.10895,            0.020465,             0.17292,             0.38277,             0.18254,            0.045573,            0.085248,            0.082324,            0.016435,            0.040023,           0.0066153,           0.0066153
                   2,            0.080066,             0.10786,            0.014737,              0.2638,             0.46935,             0.29839,            0.095152,            0.063729,            0.094439,            0.012363,           0.0099351,           0.0098607,           0.0098607
                   3,            0.073666,             0.11003,            0.012184,             0.28124,             0.65854,             0.44341,             0.20431,            0.055685,              0.0879,            0.010802,            0.009802,            0.009802,            0.009802
                   4,            0.068416,             0.10365,            0.010918,             0.29686,             0.58472,             0.40351,             0.13955,            0.068322,            0.085693,            0.009802,            0.009802,            0.009802,            0.009802
                   5,            0.064025,             0.10672,            0.010157,             0.43172,              0.6256,             0.54595,             0.22542,            0.048141,            0.085483,           0.0094116,            0.009736,            0.009736,            0.009736
                   6,            0.062509,             0.10317,           0.0095143,             0.33667,             0.59717,             0.38948,             0.14511,            0.059732,            0.085703,           0.0087461,             0.00967,             0.00967,             0.00967
                   7,            0.058333,             0.10374,           0.0091457,             0.53398,             0.62534,             0.57261,              0.2556,            0.047593,            0.086315,           0.0084266,            0.009604,            0.009604,            0.009604
                   8,            0.056184,             0.10151,           0.0084037,             0.50422,             0.59913,             0.53838,             0.20245,            0.049528,            0.084859,           0.0083273,            0.009538,            0.009538,            0.009538
                   9,            0.055813,             0.10202,           0.0083054,             0.50672,             0.62554,             0.54721,             0.26585,            0.053192,             0.08564,           0.0077191,            0.009472,            0.009472,            0.009472
                  10,            0.052757,            0.098826,            0.007946,             0.67027,             0.62996,             0.65359,             0.32271,             0.04464,            0.083198,           0.0073695,            0.009406,            0.009406,            0.009406
                  11,            0.052207,             0.10225,           0.0074245,              0.6763,             0.63046,             0.66102,             0.29816,            0.045618,            0.086484,           0.0072524,             0.00934,             0.00934,             0.00934
                  12,            0.050927,            0.099376,           0.0072774,             0.70341,             0.64637,             0.68095,             0.35313,            0.038193,            0.084057,           0.0069508,            0.009274,            0.009274,            0.009274
                  13,            0.048864,            0.098707,           0.0069764,             0.68593,             0.63723,             0.67317,             0.33446,            0.039624,            0.082705,           0.0066897,            0.009208,            0.009208,            0.009208
                  14,            0.049179,             0.09953,           0.0068755,             0.70132,             0.64215,             0.68617,             0.33096,            0.041693,            0.084468,            0.006583,            0.009142,            0.009142,            0.009142
                  15,            0.047884,            0.099494,           0.0066593,             0.73329,             0.64673,             0.70014,             0.39084,            0.036912,            0.081223,           0.0063401,            0.009076,            0.009076,            0.009076
                  16,             0.04771,            0.096909,           0.0063268,             0.71927,             0.65976,             0.70151,             0.37118,            0.037712,            0.082002,           0.0062961,             0.00901,             0.00901,             0.00901
                  17,            0.046838,            0.096819,           0.0063075,             0.71623,             0.66533,             0.70333,             0.35561,            0.041097,            0.083067,           0.0061024,            0.008944,            0.008944,            0.008944
                  18,            0.045708,            0.098088,           0.0062337,             0.72891,             0.65545,             0.71313,             0.38474,            0.036567,            0.082776,           0.0061278,            0.008878,            0.008878,            0.008878
                  19,            0.044047,            0.099512,           0.0060725,               0.726,             0.66091,             0.71159,             0.38764,             0.03825,            0.082416,           0.0059234,            0.008812,            0.008812,            0.008812
                  20,            0.044065,            0.099116,            0.006009,             0.73755,             0.65507,             0.71119,             0.40338,            0.035211,            0.081626,           0.0058826,            0.008746,            0.008746,            0.008746
                  21,            0.044244,            0.098526,           0.0060199,              0.7317,             0.65507,             0.70435,             0.35849,            0.035556,            0.082225,           0.0058176,             0.00868,             0.00868,             0.00868
                  22,            0.042893,            0.096228,           0.0058807,             0.73651,             0.67269,              0.7221,             0.42402,            0.031945,             0.08099,           0.0056017,            0.008614,            0.008614,            0.008614
                  23,            0.043413,            0.094216,           0.0057503,             0.72893,             0.66433,             0.71589,             0.37906,            0.037578,            0.082318,           0.0056171,            0.008548,            0.008548,            0.008548
                  24,            0.042762,            0.095827,           0.0056322,             0.73968,             0.65619,             0.71735,              0.4196,            0.034216,            0.081356,           0.0058105,            0.008482,            0.008482,            0.008482
                  25,            0.041054,            0.097345,            0.005823,              0.7422,             0.67293,             0.72458,              0.4294,            0.033371,              0.0799,           0.0056166,            0.008416,            0.008416,            0.008416
                  26,            0.042153,             0.09422,           0.0056445,             0.73429,             0.66936,             0.72048,             0.39455,            0.035919,            0.081932,           0.0057355,             0.00835,             0.00835,             0.00835
                  27,            0.041846,             0.09378,           0.0056192,             0.74281,             0.67431,              0.7276,             0.42664,            0.032744,            0.080054,           0.0053863,            0.008284,            0.008284,            0.008284
                  28,            0.040848,            0.094799,           0.0055203,             0.73681,             0.67394,             0.72476,             0.38781,            0.033606,            0.080819,           0.0054929,            0.008218,            0.008218,            0.008218
                  29,            0.040864,            0.093997,           0.0054459,             0.73668,             0.67556,             0.72107,             0.43132,            0.031836,            0.079696,            0.005571,            0.008152,            0.008152,            0.008152
                  30,            0.040049,            0.094619,           0.0053784,             0.74318,             0.66426,             0.71979,             0.39939,            0.032817,            0.081702,           0.0057036,            0.008086,            0.008086,            0.008086
                  31,            0.038573,            0.096481,           0.0055022,              0.7335,             0.67447,             0.72891,             0.41554,            0.031627,            0.080383,           0.0054935,             0.00802,             0.00802,             0.00802
                  32,            0.039479,            0.091185,           0.0053376,             0.75634,             0.66732,              0.7297,             0.44462,            0.030805,            0.079792,           0.0053653,            0.007954,            0.007954,            0.007954
                  33,            0.039667,            0.094773,            0.005055,             0.74766,             0.66844,             0.72881,             0.42157,            0.032577,            0.080907,           0.0053081,            0.007888,            0.007888,            0.007888
                  34,            0.038194,            0.091962,           0.0051497,             0.73823,             0.68188,             0.73179,             0.43205,            0.031011,            0.079914,           0.0052329,            0.007822,            0.007822,            0.007822
                  35,            0.038047,            0.091309,           0.0051835,             0.74416,             0.67106,             0.73223,             0.43631,            0.029679,            0.079882,           0.0054066,            0.007756,            0.007756,            0.007756
                  36,            0.037633,             0.09327,           0.0050237,             0.73516,             0.67121,              0.7319,             0.44305,            0.029092,            0.080007,           0.0051962,             0.00769,             0.00769,             0.00769
                  37,            0.036224,            0.092467,           0.0050141,             0.74639,             0.67561,             0.73718,             0.44066,            0.030621,             0.07969,           0.0052884,            0.007624,            0.007624,            0.007624
                  38,            0.037322,            0.092292,            0.005063,             0.74969,              0.6748,             0.73633,             0.44556,            0.030388,            0.078842,           0.0052069,            0.007558,            0.007558,            0.007558
                  39,            0.037243,             0.09167,           0.0048406,             0.74146,             0.67824,              0.7342,             0.45064,            0.028245,            0.079196,           0.0051464,            0.007492,            0.007492,            0.007492
                  40,            0.036241,            0.089392,            0.005135,             0.73699,             0.67441,             0.72778,             0.42017,            0.031661,            0.080913,           0.0051901,            0.007426,            0.007426,            0.007426
                  41,            0.037283,            0.089395,           0.0049659,             0.74005,             0.69318,             0.74127,             0.46092,            0.027928,            0.078219,           0.0050646,             0.00736,             0.00736,             0.00736
                  42,            0.036802,            0.089158,           0.0048769,             0.74434,             0.68064,             0.73765,             0.43937,            0.031422,            0.079425,           0.0049867,            0.007294,            0.007294,            0.007294
                  43,            0.035018,            0.092179,           0.0050006,             0.73825,             0.69016,             0.73905,             0.44914,            0.028367,            0.078625,           0.0051241,            0.007228,            0.007228,            0.007228
                  44,             0.03599,            0.087129,            0.004808,             0.74187,             0.67847,             0.73385,             0.43902,            0.029403,             0.07976,           0.0051083,            0.007162,            0.007162,            0.007162
                  45,            0.036478,            0.093426,           0.0048392,             0.74347,             0.68636,             0.73976,             0.45806,            0.027853,            0.078451,           0.0049588,            0.007096,            0.007096,            0.007096
                  46,            0.035299,            0.090409,           0.0047612,             0.73988,             0.68033,             0.73489,             0.44195,            0.029436,            0.079308,           0.0050071,             0.00703,             0.00703,             0.00703
                  47,            0.035638,             0.08924,           0.0046941,             0.74332,             0.68474,             0.73913,             0.46115,            0.028103,            0.078782,           0.0048775,            0.006964,            0.006964,            0.006964
                  48,            0.034951,            0.087337,            0.004654,             0.74323,             0.68688,              0.7383,             0.45332,            0.028147,            0.078553,           0.0049271,            0.006898,            0.006898,            0.006898
                  49,            0.034323,            0.087557,           0.0047188,             0.74633,             0.67844,             0.73911,             0.44857,            0.028784,             0.07897,           0.0050033,            0.006832,            0.006832,            0.006832
                  50,             0.03463,            0.088797,           0.0048064,             0.74992,             0.68449,              0.7431,             0.45199,            0.028749,            0.079081,           0.0048438,            0.006766,            0.006766,            0.006766
